2025-08-12 22:37:39 status unpacked adduser:all 3.152
2025-08-12 22:37:39 startup packages configure
2025-08-12 22:37:39 configure adduser:all 3.152 <none>
2025-08-12 22:37:39 status unpacked adduser:all 3.152
2025-08-12 22:37:39 status half-configured adduser:all 3.152
2025-08-12 22:37:39 status installed adduser:all 3.152
2025-08-12 22:37:39 startup archives unpack
2025-08-12 22:37:39 install readline-common:all <none> 8.2-6
2025-08-12 22:37:39 status half-installed readline-common:all 8.2-6
2025-08-12 22:37:39 status unpacked readline-common:all 8.2-6
2025-08-12 22:37:39 install bzip2:amd64 <none> 1.0.8-6
2025-08-12 22:37:39 status half-installed bzip2:amd64 1.0.8-6
2025-08-12 22:37:39 status unpacked bzip2:amd64 1.0.8-6
2025-08-12 22:37:39 install perl-modules-5.40:all <none> 5.40.1-6
2025-08-12 22:37:39 status half-installed perl-modules-5.40:all 5.40.1-6
2025-08-12 22:37:39 status unpacked perl-modules-5.40:all 5.40.1-6
2025-08-12 22:37:39 install libgdbm6t64:amd64 <none> 1.24-2
2025-08-12 22:37:39 status half-installed libgdbm6t64:amd64 1.24-2
2025-08-12 22:37:39 status unpacked libgdbm6t64:amd64 1.24-2
2025-08-12 22:37:39 install libgdbm-compat4t64:amd64 <none> 1.24-2
2025-08-12 22:37:39 status half-installed libgdbm-compat4t64:amd64 1.24-2
2025-08-12 22:37:39 status unpacked libgdbm-compat4t64:amd64 1.24-2
2025-08-12 22:37:39 install libperl5.40:amd64 <none> 5.40.1-6
2025-08-12 22:37:39 status half-installed libperl5.40:amd64 5.40.1-6
2025-08-12 22:37:40 status unpacked libperl5.40:amd64 5.40.1-6
2025-08-12 22:37:40 install perl:amd64 <none> 5.40.1-6
2025-08-12 22:37:40 status half-installed perl:amd64 5.40.1-6
2025-08-12 22:37:40 status unpacked perl:amd64 5.40.1-6
2025-08-12 22:37:40 install libunistring5:amd64 <none> 1.3-2
2025-08-12 22:37:40 status half-installed libunistring5:amd64 1.3-2
2025-08-12 22:37:40 status unpacked libunistring5:amd64 1.3-2
2025-08-12 22:37:40 install libidn2-0:amd64 <none> 2.3.8-2
2025-08-12 22:37:40 status half-installed libidn2-0:amd64 2.3.8-2
2025-08-12 22:37:40 status unpacked libidn2-0:amd64 2.3.8-2
2025-08-12 22:37:40 install libffi8:amd64 <none> 3.4.8-2
2025-08-12 22:37:40 status half-installed libffi8:amd64 3.4.8-2
2025-08-12 22:37:40 status unpacked libffi8:amd64 3.4.8-2
2025-08-12 22:37:40 install libp11-kit0:amd64 <none> 0.25.5-3
2025-08-12 22:37:40 status half-installed libp11-kit0:amd64 0.25.5-3
2025-08-12 22:37:40 status unpacked libp11-kit0:amd64 0.25.5-3
2025-08-12 22:37:40 install libtasn1-6:amd64 <none> 4.20.0-2
2025-08-12 22:37:40 status half-installed libtasn1-6:amd64 4.20.0-2
2025-08-12 22:37:40 status unpacked libtasn1-6:amd64 4.20.0-2
2025-08-12 22:37:40 install libgnutls30t64:amd64 <none> 3.8.9-3
2025-08-12 22:37:40 status half-installed libgnutls30t64:amd64 3.8.9-3
2025-08-12 22:37:40 status unpacked libgnutls30t64:amd64 3.8.9-3
2025-08-12 22:37:40 install libpsl5t64:amd64 <none> 0.21.2-1.1+b1
2025-08-12 22:37:40 status half-installed libpsl5t64:amd64 0.21.2-1.1+b1
2025-08-12 22:37:40 status unpacked libpsl5t64:amd64 0.21.2-1.1+b1
2025-08-12 22:37:40 install wget:amd64 <none> 1.25.0-2
2025-08-12 22:37:40 status half-installed wget:amd64 1.25.0-2
2025-08-12 22:37:40 status unpacked wget:amd64 1.25.0-2
2025-08-12 22:37:40 install xz-utils:amd64 <none> 5.8.1-1
2025-08-12 22:37:40 status half-installed xz-utils:amd64 5.8.1-1
2025-08-12 22:37:40 status unpacked xz-utils:amd64 5.8.1-1
2025-08-12 22:37:40 install libsframe1:amd64 <none> 2.44-3
2025-08-12 22:37:40 status half-installed libsframe1:amd64 2.44-3
2025-08-12 22:37:40 status unpacked libsframe1:amd64 2.44-3
2025-08-12 22:37:40 install binutils-common:amd64 <none> 2.44-3
2025-08-12 22:37:40 status half-installed binutils-common:amd64 2.44-3
2025-08-12 22:37:40 status unpacked binutils-common:amd64 2.44-3
2025-08-12 22:37:40 install libbinutils:amd64 <none> 2.44-3
2025-08-12 22:37:40 status half-installed libbinutils:amd64 2.44-3
2025-08-12 22:37:40 status unpacked libbinutils:amd64 2.44-3
2025-08-12 22:37:40 install libgprofng0:amd64 <none> 2.44-3
2025-08-12 22:37:40 status half-installed libgprofng0:amd64 2.44-3
2025-08-12 22:37:40 status unpacked libgprofng0:amd64 2.44-3
2025-08-12 22:37:40 install libctf-nobfd0:amd64 <none> 2.44-3
2025-08-12 22:37:40 status half-installed libctf-nobfd0:amd64 2.44-3
2025-08-12 22:37:40 status unpacked libctf-nobfd0:amd64 2.44-3
2025-08-12 22:37:40 install libctf0:amd64 <none> 2.44-3
